aggregation,business_definition,caveats,denominator,grain,metric_id,metric_name,numerator,owner_role,source_artifact,source_domain,synthetic_data_flag,technical_definition,unit
weighted_ratio,Share of valid funnel entrants that reach the terminal stage.,Descriptive synthetic funnel evidence; suppressed segment cells are excluded.,entrants,funnel,funnel_conversion_rate,Funnel Conversion Rate,completed,Product analytics,milestone_4/funnel-summary.csv,funnel,True,completed divided by entrants from fact_funnel_performance.,proportion
weighted_ratio,Share of users who fail to progress from one funnel stage.,Right-censored journeys remain governed by funnel diagnostics.,prior_stage_users,funnel_stage,stage_dropoff_rate,Stage Drop-off Rate,prior_stage_users - current_stage_users,Product analytics,milestone_4/funnel-dropoff-analysis.csv,funnel,True,prior stage users minus current stage users divided by prior stage users.,proportion
weighted_ratio,Users active in a specific later period after joining a cohort.,Right-censored periods use observed denominators.,observed_denominator,cohort_period,classic_retention_rate,Classic Retention Rate,retained_users,Growth analytics,milestone_5/retention-matrix.csv,retention,True,retained users in period N divided by observed denominator.,proportion
weighted_ratio,Users active in period N or any later observed period.,Synthetic cohort sizes are small.,observed_denominator,cohort_period,rolling_retention_rate,Rolling Retention Rate,rolling_retained_users,Growth analytics,milestone_5/retention-matrix.csv,retention,True,rolling retained users divided by observed denominator.,proportion
model_split_metric,Share of flagged users that actually churn in the label window.,Risk indicator only; not for automated adverse decisions.,predicted_positives,model_split,churn_precision,Churn Precision,true_positives,Data science,milestone_6/evaluation-metrics.json,churn,True,true positives divided by predicted positives.,proportion
model_split_metric,Share of churners captured by the risk threshold.,Selected threshold is validation-driven.,actual_positives,model_split,churn_recall,Churn Recall,true_positives,Data science,milestone_6/evaluation-metrics.json,churn,True,true positives divided by actual positives.,proportion
sum_ratio,Share of eligible users assigned to a segment.,Segment labels are analytical interpretations.,eligible_users,segment,segment_population_share,Segment Population Share,user_count,Product management,milestone_7/segment-profiles.csv,segmentation,True,segment users divided by eligible users.,proportion
model_metric,Position-aware quality of top five recommendations.,"Offline ranking metric, not a probability.",ideal_discounted_gain_at_5,recommendation_model,recommendation_ndcg_at_5,Recommendation NDCG@5,discounted_gain_at_5,Recommendations product,milestone_8/model-comparison.csv,recommendations,True,normalised discounted cumulative gain at K equals 5.,score
experiment_result,Difference between treatment and control outcomes.,"Decision also depends on power, SRM, integrity, and guardrails.",not_applicable,experiment_variant,experiment_treatment_effect,Experiment Treatment Effect,treatment_value - control_value,Experiment owner,milestone_9/decision-summary.csv,experiments,True,treatment value minus control value for the primary metric.,metric_units
sum,Count of experiment decisions blocked by failed guardrails.,Guardrails can block rollout even when primary metric improves.,not_applicable,experiment,guardrail_failure_count,Guardrail Failure Count,failed_guardrail_rows,Experiment owner,milestone_9/guardrail-results.csv,experiments,True,count rows where guardrail_status equals fail.,count
ratio,Share of insight governance checks that pass.,"Checks validate grounding and language constraints, not business truth.",evaluated_checks,assistant_run,insight_governance_pass_rate,Insight Governance Pass Rate,passed_checks,Product analytics,milestone_10/grounded-insights.json,product_insights,True,passed checks divided by evaluated checks.,proportion
latest_status,Whether required reporting evidence passed validation.,Local deterministic validation; no Power BI deployment is performed.,validation_rules,reporting_run,data_quality_status,Data Quality Status,passed_validation_rules,Analytics engineering,reporting-diagnostics.json,governance,True,reporting validation status from reporting-diagnostics.json.,status
